School,School URL,District,District URL,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
Richards School For Young Women Leaders,https://www.schooldigger.com/go/TX/schools/0894011354/school.aspx,Austin Independent School District,https://www.schooldigger.com/go/TX/district/08940/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78704,Travis,(512) 414-3236,6,12,No,No,No,Yes,764,46,16.6,0.59,0.09,0,0.03,0.65,0,0.04,0.2,89.3
Vandegrift High School,https://www.schooldigger.com/go/TX/schools/2703012156/school.aspx,Leander Independent School District,https://www.schooldigger.com/go/TX/district/27030/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78750,Travis,(512) 570-2300,9,12,No,No,No,Yes,2062,124,16.6,0.07,0.03,0,0.08,0.15,0,0.03,0.7,89.1
Marcus High School,https://www.schooldigger.com/go/TX/schools/2730005770/school.aspx,Lewisville Independent School District,https://www.schooldigger.com/go/TX/district/27300/search.aspx,Flower Mound,https://www.schooldigger.com/go/TX/city/Flower+Mound/search.aspx,75028,Denton,(469) 713-5196,9,12,No,No,No,Yes,2439,151,16.1,0.07,0.04,0.01,0.05,0.12,0,0.03,0.75,89.1
Coppell High School,https://www.schooldigger.com/go/TX/schools/1521001028/school.aspx,Coppell Independent School District,https://www.schooldigger.com/go/TX/district/15210/search.aspx,Coppell,https://www.schooldigger.com/go/TX/city/Coppell/search.aspx,75019,Dallas,(214) 496-6100,9,12,No,No,No,No,3136,192,16.3,0.1,0.05,0,0.29,0.12,0,0.03,0.5,88.9
Bowie High School,https://www.schooldigger.com/go/TX/schools/0894006508/school.aspx,Austin Independent School District,https://www.schooldigger.com/go/TX/district/08940/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78749,Travis,(512) 414-5247,9,12,No,No,No,Yes,2871,161,17.8,0.14,0.04,0,0.05,0.36,0,0.04,0.5,88.9
Keller High School,https://www.schooldigger.com/go/TX/schools/2526002822/school.aspx,Keller Independent School District,https://www.schooldigger.com/go/TX/district/25260/search.aspx,Keller,https://www.schooldigger.com/go/TX/city/Keller/search.aspx,76248,Tarrant,(817) 744-1400,9,12,No,No,No,Yes,2645,146,18.1,0.05,0.03,0,0.05,0.11,0,0.02,0.79,88.9
Valle Verde Early College High School,https://www.schooldigger.com/go/TX/schools/4668011982/school.aspx,Ysleta Independent School District,https://www.schooldigger.com/go/TX/district/46680/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79915,El Paso,(915) 434-1500,9,12,Yes,No,No,Yes,398,18,22.1,0.68,0.01,0,0.01,0.91,0,0,0.07,88.8
Tomball Memorial High School,https://www.schooldigger.com/go/TX/schools/4296012380/school.aspx,Tomball Independent School District,https://www.schooldigger.com/go/TX/district/42960/search.aspx,Tomball,https://www.schooldigger.com/go/TX/city/Tomball/search.aspx,77377,Harris,(281) 357-3230,9,12,No,No,No,No,1942,103,18.8,0.13,0.07,0,0.07,0.25,0,0.04,0.57,88.6
Plano West Senior High School,https://www.schooldigger.com/go/TX/schools/3510008150/school.aspx,Plano Independent School District,https://www.schooldigger.com/go/TX/district/35100/search.aspx,Plano,https://www.schooldigger.com/go/TX/city/Plano/search.aspx,75093,Collin,(469) 752-9600,11,12,No,No,No,Yes,2896,165,17.5,0.14,0.1,0,0.25,0.13,0,0.03,0.48,88.3
Heritage High School,https://www.schooldigger.com/go/TX/schools/2001012192/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75035,Collin,(469) 633-5900,9,12,Yes,No,No,Yes,1844,126,14.6,0.16,0.2,0.01,0.17,0.17,0,0.04,0.43,88.1
Reagan High School,https://www.schooldigger.com/go/TX/schools/3294008116/school.aspx,North East Independent School District,https://www.schooldigger.com/go/TX/district/32940/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78258,Bexar,(210) 356-1800,9,12,No,No,No,Yes,3096,159,19.4,0.1,0.04,0,0.07,0.42,0,0.03,0.44,88.1
Achieve Early College High School,https://www.schooldigger.com/go/TX/schools/2967011859/school.aspx,McAllen Independent School District,https://www.schooldigger.com/go/TX/district/29670/search.aspx,McAllen,https://www.schooldigger.com/go/TX/city/McAllen/search.aspx,78501,Hidalgo,(956) 618-6048,9,12,Yes,No,No,No,408,19,21.4,0.76,0.01,0,0.02,0.95,0,0.01,0.02,88.1
Allen High School,https://www.schooldigger.com/go/TX/schools/0789000117/school.aspx,Allen Independent School District,https://www.schooldigger.com/go/TX/district/07890/search.aspx,Allen,https://www.schooldigger.com/go/TX/city/Allen/search.aspx,75002,Collin,(972) 727-0400,9,12,No,No,No,Yes,4536,236,19.2,0.14,0.12,0.01,0.13,0.14,0,0.03,0.57,88
Ischool High At The Woodlands,https://www.schooldigger.com/go/TX/schools/0016312926/school.aspx,Texas College Preparatory Academies,https://www.schooldigger.com/go/TX/district/00163/search.aspx,Conroe,https://www.schooldigger.com/go/TX/city/Conroe/search.aspx,77384,Montgomery,(972) 316-3663,9,12,No,Yes,No,Yes,246,9,27.3,0.08,0.07,0.01,0.02,0.22,0,0.05,0.62,87.9
Lindsay High School,https://www.schooldigger.com/go/TX/schools/2757003100/school.aspx,Lindsay Independent School District,https://www.schooldigger.com/go/TX/district/27570/search.aspx,Lindsay,https://www.schooldigger.com/go/TX/city/Lindsay/search.aspx,76250,Cooke,(940) 668-8474,7,12,No,No,No,No,236,21,11.2,0.07,0,0,0.01,0.04,0,0.02,0.93,87.9
Harmony School Of Science - Houston High,https://www.schooldigger.com/go/TX/schools/0140512741/school.aspx,Harmony School Of Science - Houston,https://www.schooldigger.com/go/TX/district/01405/search.aspx,Sugar Land,https://www.schooldigger.com/go/TX/city/Sugar+Land/search.aspx,77498,Fort Bend,(281) 302-6445,7,12,Yes,Yes,No,Yes,782,56,13.9,0.49,0.19,0,0.46,0.21,0,0.01,0.14,87.9
Houston Academy For International Studies,https://www.schooldigger.com/go/TX/schools/2364011263/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77004,Harris,(713) 942-1430,9,12,Yes,Yes,Yes,No,441,20,22,0.71,0.42,0,0.02,0.48,0,0.01,0.06,87.7
Roby High School,https://www.schooldigger.com/go/TX/schools/3747004210/school.aspx,Roby Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/37470/search.aspx,Roby,https://www.schooldigger.com/go/TX/city/Roby/search.aspx,79543,Fisher,(325) 776-2224,9,12,No,No,No,No,72,8,9,0.44,0.01,0,0,0.35,0,0.01,0.63,87.7
Memorial High School,https://www.schooldigger.com/go/TX/schools/4110004680/school.aspx,Spring Branch Independent School District,https://www.schooldigger.com/go/TX/district/41100/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77024,Harris,(713) 251-2500,9,12,No,No,No,Yes,2600,145,17.9,0.1,0.02,0,0.16,0.18,0,0.02,0.62,87.6
Lake Travis High School,https://www.schooldigger.com/go/TX/schools/2647005763/school.aspx,Lake Travis Independent School District,https://www.schooldigger.com/go/TX/district/26470/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78738,Travis,(512) 533-6100,9,12,No,No,No,Yes,2561,142,18,0.1,0.01,0,0.04,0.19,0,0.04,0.71,87.6
James M Steele Accelerated High School,https://www.schooldigger.com/go/TX/schools/3318012421/school.aspx,Northwest Independent School District,https://www.schooldigger.com/go/TX/district/33180/search.aspx,Roanoke,https://www.schooldigger.com/go/TX/city/Roanoke/search.aspx,76262,Denton,(817) 698-5800,9,12,Yes,No,No,No,120,14,8.5,0.24,0.04,0.01,0.02,0.25,0,0,0.68,87.4
Cypress Woods High School,https://www.schooldigger.com/go/TX/schools/1611011252/school.aspx,Cypress-Fairbanks Independent School District,https://www.schooldigger.com/go/TX/district/16110/search.aspx,Cypress,https://www.schooldigger.com/go/TX/city/Cypress/search.aspx,77429,Harris,(281) 213-1800,9,12,No,No,No,No,3286,179,18.3,0.17,0.11,0,0.07,0.26,0,0.02,0.54,87.3
Founders Classical Academy,https://www.schooldigger.com/go/TX/schools/0016312670/school.aspx,Texas College Preparatory Academies,https://www.schooldigger.com/go/TX/district/00163/search.aspx,Lewisville,https://www.schooldigger.com/go/TX/city/Lewisville/search.aspx,75067,Denton,(972) 316-3663,KG,12,No,Yes,No,No,807,51,15.8,0.07,0.06,0,0.09,0.14,0,0.06,0.64,87.3
Friendswood High School,https://www.schooldigger.com/go/TX/schools/1995001948/school.aspx,Friendswood Independent School District,https://www.schooldigger.com/go/TX/district/19950/search.aspx,Friendswood,https://www.schooldigger.com/go/TX/city/Friendswood/search.aspx,77546,Galveston,(281) 482-3413,9,12,No,No,No,No,2192,131,16.7,0.05,0.02,0,0.07,0.14,0,0.01,0.75,87.3
Argyle High School,https://www.schooldigger.com/go/TX/schools/0867008769/school.aspx,Argyle Independent School District,https://www.schooldigger.com/go/TX/district/08670/search.aspx,Argyle,https://www.schooldigger.com/go/TX/city/Argyle/search.aspx,76226,Denton,(940) 262-7777,9,12,No,No,No,No,711,50,14.2,0.09,0.01,0.01,0.01,0.1,0,0.01,0.87,87.1
International School Of America,https://www.schooldigger.com/go/TX/schools/3294007513/school.aspx,North East Independent School District,https://www.schooldigger.com/go/TX/district/32940/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78213,Bexar,(210) 356-0900,9,12,No,No,Yes,Yes,479,23,20.8,0.2,0.03,0,0.03,0.55,0,0.03,0.36,87
London High School,https://www.schooldigger.com/go/TX/schools/2799012600/school.aspx,London Independent School District,https://www.schooldigger.com/go/TX/district/27990/search.aspx,Corpus Christi,https://www.schooldigger.com/go/TX/city/Corpus+Christi/search.aspx,78415,Nueces,(361) 855-0092,6,12,No,No,No,No,398,29,13.7,0.1,0.02,0,0.02,0.43,0,0.01,0.52,87
Iuniversity Prep,https://www.schooldigger.com/go/TX/schools/2166013033/school.aspx,Grapevine-Colleyville Independent School District,https://www.schooldigger.com/go/TX/district/21660/search.aspx,Grapevine,https://www.schooldigger.com/go/TX/city/Grapevine/search.aspx,76051,Tarrant,(817) 305-4895,5,12,No,No,Yes,No,246,13,18.9,0.03,0.06,0,0.03,0.12,0,0.05,0.73,86.8
Jimmy Carter Early College High School,https://www.schooldigger.com/go/TX/schools/2613010825/school.aspx,La Joya Independent School District,https://www.schooldigger.com/go/TX/district/26130/search.aspx,La Joya,https://www.schooldigger.com/go/TX/city/La+Joya/search.aspx,78560,Hidalgo,(956) 584-4842,9,12,Yes,No,No,No,369,26,14.1,0.98,0,0,0,1,0,0,0,86.8
Early College High School,https://www.schooldigger.com/go/TX/schools/2253011541/school.aspx,Harlingen Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/22530/search.aspx,Harlingen,https://www.schooldigger.com/go/TX/city/Harlingen/search.aspx,78550,Cameron,(956) 430-9690,9,12,Yes,No,No,No,320,16,20,0.53,0.01,0,0,0.86,0,0.01,0.12,86.7
Young Women's College Prep Academy,https://www.schooldigger.com/go/TX/schools/2364012621/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77004,Harris,(713) 556-7102,6,12,Yes,No,Yes,Yes,522,29,18,0.69,0.53,0.01,0.02,0.4,0,0.01,0.03,86.6
Knippa School,https://www.schooldigger.com/go/TX/schools/2580002911/school.aspx,Knippa Independent School District,https://www.schooldigger.com/go/TX/district/25800/search.aspx,Knippa,https://www.schooldigger.com/go/TX/city/Knippa/search.aspx,78870,Uvalde,(830) 934-2177,PK,12,Yes,No,No,No,404,28,14.4,0.28,0.01,0,0.01,0.54,0,0,0.45,86.6
Houston Gateway Academy - Coral Campus,https://www.schooldigger.com/go/TX/schools/0011812310/school.aspx,Houston Gateway Academy Inc,https://www.schooldigger.com/go/TX/district/00118/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77012,Harris,(713) 923-5060,PK,12,Yes,Yes,No,No,715,34,21,0.91,0.01,0,0,0.98,0,0,0.01,86.5
McKinney Boyd High School,https://www.schooldigger.com/go/TX/schools/2985010501/school.aspx,McKinney Independent School District,https://www.schooldigger.com/go/TX/district/29850/search.aspx,McKinney,https://www.schooldigger.com/go/TX/city/McKinney/search.aspx,75070,Collin,(469) 302-3400,9,12,No,No,No,No,2881,170,16.9,0.16,0.09,0.01,0.04,0.19,0,0.02,0.65,86.3
Early College High School,https://www.schooldigger.com/go/TX/schools/1305011190/school.aspx,Carrollton-Farmers Branch Independent School District,https://www.schooldigger.com/go/TX/district/13050/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75244,Dallas,(972) 968-6200,9,12,Yes,Yes,No,No,300,12,25,0.75,0.04,0.01,0.05,0.85,0,0,0.05,86.2
Idea Quest College Preparatory,https://www.schooldigger.com/go/TX/schools/0021111947/school.aspx,Idea Public Schools,https://www.schooldigger.com/go/TX/district/00211/search.aspx,Edinburg,https://www.schooldigger.com/go/TX/city/Edinburg/search.aspx,78541,Hidalgo,(956) 287-1003,6,12,Yes,Yes,No,Yes,719,44,16.3,0.84,0,0,0.04,0.91,0,0,0.04,85.9
Idea Frontier College Preparatory,https://www.schooldigger.com/go/TX/schools/0021111952/school.aspx,Idea Public Schools,https://www.schooldigger.com/go/TX/district/00211/search.aspx,Brownsville,https://www.schooldigger.com/go/TX/city/Brownsville/search.aspx,78521,Cameron,(956) 541-2002,6,12,Yes,Yes,No,Yes,797,52,15.3,0.88,0,0,0.01,0.96,0,0,0.02,85.8
Taylor High School,https://www.schooldigger.com/go/TX/schools/2517005518/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77450,Harris,(281) 237-3100,9,12,No,No,No,Yes,2943,156,18.8,0.17,0.07,0.01,0.15,0.23,0,0.04,0.51,85.8
Round Rock High School,https://www.schooldigger.com/go/TX/schools/3808004254/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,Round Rock,https://www.schooldigger.com/go/TX/city/Round+Rock/search.aspx,78681,Williamson,(512) 464-6000,9,12,No,No,No,Yes,2972,196,15.1,0.14,0.05,0,0.06,0.28,0,0.03,0.57,85.7
Stephen F Austin High School,https://www.schooldigger.com/go/TX/schools/1965007000/school.aspx,Fort Bend Independent School District,https://www.schooldigger.com/go/TX/district/19650/search.aspx,Sugar Land,https://www.schooldigger.com/go/TX/city/Sugar+Land/search.aspx,77498,Fort Bend,(281) 634-2000,9,12,No,No,No,No,2315,122,18.9,0.22,0.18,0,0.4,0.15,0,0.02,0.25,85.6
Nazareth School,https://www.schooldigger.com/go/TX/schools/3222003573/school.aspx,Nazareth Independent School District,https://www.schooldigger.com/go/TX/district/32220/search.aspx,Nazareth,https://www.schooldigger.com/go/TX/city/Nazareth/search.aspx,79063,Castro,(806) 945-2231,KG,12,Yes,No,No,No,227,23,9.8,0.19,0.01,0.01,0,0.11,0,0,0.87,85.4
Treetops School International,https://www.schooldigger.com/go/TX/schools/0006808023/school.aspx,Treetops School International,https://www.schooldigger.com/go/TX/district/00068/search.aspx,Euless,https://www.schooldigger.com/go/TX/city/Euless/search.aspx,76040,Tarrant,(817) 283-1771,KG,12,No,Yes,No,No,363,29,12.5,0.11,0.15,0.01,0.04,0.13,0.01,0.09,0.58,85.3
Boerne - Samuel V Champion High School,https://www.schooldigger.com/go/TX/schools/1071012014/school.aspx,Boerne Independent School District,https://www.schooldigger.com/go/TX/district/10710/search.aspx,Boerne,https://www.schooldigger.com/go/TX/city/Boerne/search.aspx,78006,Kendall,(830) 357-2600,9,12,No,No,No,Yes,1452,89,16.3,0.1,0,0.01,0.01,0.25,0,0.02,0.7,85.1
Cedar Park High School,https://www.schooldigger.com/go/TX/schools/2703008089/school.aspx,Leander Independent School District,https://www.schooldigger.com/go/TX/district/27030/search.aspx,Cedar Park,https://www.schooldigger.com/go/TX/city/Cedar+Park/search.aspx,78613,Williamson,(512) 570-1200,9,12,No,No,No,Yes,1871,112,16.7,0.11,0.03,0.01,0.05,0.18,0,0.03,0.7,84.7
Wylie High School,https://www.schooldigger.com/go/TX/schools/4650005293/school.aspx,Wylie Independent School District,https://www.schooldigger.com/go/TX/district/46500/search.aspx,Abilene,https://www.schooldigger.com/go/TX/city/Abilene/search.aspx,79606,Taylor,(325) 690-1181,9,12,No,No,No,Yes,1026,67,15.3,0.09,0.02,0.01,0.03,0.12,0,0.03,0.79,84.6
Sunnyvale High School,https://www.schooldigger.com/go/TX/schools/4188011997/school.aspx,Sunnyvale Independent School District,https://www.schooldigger.com/go/TX/district/41880/search.aspx,Sunnyvale,https://www.schooldigger.com/go/TX/city/Sunnyvale/search.aspx,75182,Dallas,(972) 203-4600,9,12,Yes,No,No,No,442,35,12.6,0.1,0.08,0.01,0.27,0.12,0,0.03,0.5,84.6
Wall High School,https://www.schooldigger.com/go/TX/schools/4441005069/school.aspx,Wall Independent School District,https://www.schooldigger.com/go/TX/district/44410/search.aspx,Wall,https://www.schooldigger.com/go/TX/city/Wall/search.aspx,76957,Tom Green,(325) 651-7521,9,12,Yes,No,No,No,331,35,9.4,0.09,0,0,0,0.16,0.01,0.01,0.83,84.5
Crawford High School,https://www.schooldigger.com/go/TX/schools/1560001131/school.aspx,Crawford Independent School District,https://www.schooldigger.com/go/TX/district/15600/search.aspx,Crawford,https://www.schooldigger.com/go/TX/city/Crawford/search.aspx,76638,McLennan,(254) 486-2381,7,12,Yes,No,No,Yes,280,27,10.3,0.2,0,0.01,0.01,0.08,0,0.01,0.89,84.3
Iola High School,https://www.schooldigger.com/go/TX/schools/2424002701/school.aspx,Iola Independent School District,https://www.schooldigger.com/go/TX/district/24240/search.aspx,Iola,https://www.schooldigger.com/go/TX/city/Iola/search.aspx,77861,Grimes,(936) 394-2361,7,12,Yes,No,No,No,202,24,8.4,0.42,0.05,0,0,0.13,0,0,0.82,84.3
Barbers Hill High School,https://www.schooldigger.com/go/TX/schools/0945000403/school.aspx,Barbers Hill Independent School District,https://www.schooldigger.com/go/TX/district/09450/search.aspx,Mont Belvieu,https://www.schooldigger.com/go/TX/city/Mont+Belvieu/search.aspx,77580,Chambers,(281) 576-2221,9,12,No,No,No,Yes,1467,95,15.4,0.13,0.03,0.01,0.01,0.2,0,0.02,0.74,84.2
Miami School,https://www.schooldigger.com/go/TX/schools/3048003429/school.aspx,Miami Independent School District,https://www.schooldigger.com/go/TX/district/30480/search.aspx,Miami,https://www.schooldigger.com/go/TX/city/Miami/search.aspx,79059,Roberts,(806) 868-3971,PK,12,Yes,No,No,Yes,209,23,9,0.18,0.01,0.01,0,0.1,0,0,0.89,84.2
Aledo High School,https://www.schooldigger.com/go/TX/schools/0778000089/school.aspx,Aledo Independent School District,https://www.schooldigger.com/go/TX/district/07780/search.aspx,Aledo,https://www.schooldigger.com/go/TX/city/Aledo/search.aspx,76008,Parker,(817) 441-8711,9,12,No,No,No,No,1193,73,16.3,0.07,0.02,0.01,0.01,0.09,0,0.02,0.85,83.9
